"['algorithm', 93, 51, 0.5483870967741935]"
"['api', 15, 12, 0.8]"
"['aws', 35, 108, 3.085714285714286]"
"['b2b software', 1, 0, 0]"
"['c+', 4, 0, 0]"
"['cs', 20, 20, 1.0]"
"['data science', 92, 0, 0]"
"['data structure', 6, 0, 0]"
"['data visualization', 140, 0, 0]"
"['database', 154, 148, 0.961038961038961]"
"['deep learning', 152, 0, 0]"
"['dimensionality reduction', 20, 0, 0]"
"['html', 103, 11, 0.10679611650485436]"
"['java', 103, 177, 1.7184466019417475]"
"['javascript', 63, 31, 0.49206349206349204]"
"['jquery', 5, 0, 0]"
"['k-means', 86, 0, 0]"
"['machine learning', 399, 0, 0]"
"['mongodb', 103, 29, 0.2815533980582524]"
"['dynamodb', 7, 2, 0.2857142857142857]"
"['cassandra', 52, 24, 0.46153846153846156]"
"['mapreduce', 131, 42, 0.32061068702290074]"
"['cluster', 216, 25, 0.11574074074074074]"
"['data mining', 70, 0, 0]"
"['etl', 180, 58, 0.32222222222222224]"
"['informatica', 49, 1, 0.02040816326530612]"
"['teradata', 127, 17, 0.13385826771653545]"
"['django', 12, 2, 0.16666666666666666]"
"['python', 796, 655, 0.8228643216080402]"
"['flask', 31, 3, 0.0967741935483871]"
"['pyspark', 149, 16, 0.10738255033557047]"
"['reporting tool', 11, 0, 0]"
"['svn', 6, 3, 0.5]"
"['system development', 1, 0, 0]"
"['xml', 21, 5, 0.23809523809523808]"
"['xslt', 1, 1, 1.0]"
"['test', 168, 165, 0.9821428571428571]"
"['business intelligence', 254, 0, 0]"
"['sql', 872, 441, 0.5057339449541285]"
"['natural language processing', 103, 0, 0]"
"['image classification', 1, 0, 0]"
"['visual studio', 30, 0, 0]"
"['c++', 101, 0, 0]"
"['hadoop', 415, 193, 0.4650602409638554]"
"['hdfs', 109, 14, 0.12844036697247707]"
"['hive', 155, 111, 0.7161290322580646]"
"['perl', 9, 32, 3.5555555555555554]"
"['matplotlib', 265, 22, 0.0830188679245283]"
